,features,rfe ranking
26,Zr90,1
33,Ba137,1
24,Sr88,1
21,Ge72,1
13,Cr52,1
7,S33,1
52,U238,1
4,Al27,1
2,B11,1
3,Mg24,1
37,Nd146,2
10,Sc45,3
8,K39,4
36,Pr141,5
0,Li7,6
12,V51,7
6,P31,8
14,Mn55,9
29,Cd111,10
34,La139,11
27,Nb93,12
20,Ga69,13
18,Cu63,14
23,Rb85,15
15,Fe56,16
5,Si28,17
35,Ce140,18
11,Ti47,19
22,As75,20
40,Gd157,21
38,Sm147,22
46,Yb172,23
19,Zn68,24
1,Be9,25
17,Ni60,26
50,Pb208,27
16,Co59,28
25,Y89,29
48,Hf178,30
42,Dy163,31
28,Mo95,32
39,Eu153,33
44,Er166,34
41,Tb159,35
43,Ho165,36
9,Ca42,37
47,Lu175,38
31,Sn118,39
49,Ta181,40
51,Th232,41
30,In115,42
45,Tm169,43
32,Cs133,44
