,S33,Cr52,U238,B11,Mg24,Ge72,Ba137,Nd146,Al27,V51,Sr88,K39,Li7,Zr90,Mn55
round1,0.11589826271702748,0.09208643077696183,0.08597990508889454,0.07058755033132799,0.07254526076002456,0.07331286457990212,0.06951500219661576,0.06323323791418035,0.06291043435971065,0.06132784762701991,0.053028932712650585,0.049936681959735385,0.0515140883561352,0.04109141636167188,0.037032084258141966
round2,0.11199510562510519,0.08794786985848352,0.08786348560858205,0.07514815574271054,0.07149564739049326,0.07191681160859732,0.07154242758366677,0.06407004948129141,0.06357013687416573,0.05789686918191448,0.05361032251595496,0.05088273339495657,0.04998169895022388,0.04263431681869568,0.039444369365158674
round3,0.10953386819908635,0.09037547363726875,0.08952341959566495,0.07409900488036161,0.07457869977058698,0.06981527330991284,0.06477986433991281,0.06470084260043941,0.06100902601441715,0.05918454593951739,0.05721267284742396,0.05075536376746898,0.05222078598466883,0.04297248378548839,0.03923867532778132
round4,0.11197110682876342,0.09197225931968177,0.08827697317739203,0.07760772189963187,0.0694207322404877,0.06983618241833939,0.06631670641554557,0.06676115769247028,0.059827402955542903,0.06107588833159801,0.05656530035950896,0.049123426597102775,0.05251273733814437,0.04159070470159395,0.03714169972419693
round5,0.11545690644952447,0.08592284465710441,0.09167001099571541,0.07624093052830189,0.07178644142359197,0.0699695834030984,0.07055658524853552,0.06278016371357403,0.06226904907257951,0.05951711524068513,0.056396324488688664,0.048170101451815064,0.05059715670946359,0.04166404971361164,0.0370027369037104
round6,0.1106341106631338,0.09213030105127705,0.09012374817255332,0.07282679921318502,0.07304201557878484,0.06818082207148828,0.07059363202400706,0.061250151199858514,0.06115410571964856,0.05475495164109113,0.0594540828610574,0.05286663933007059,0.05214633309785749,0.043909874363643,0.03693243301234383
round7,0.11429583236810524,0.08999108087368793,0.08197069587571322,0.07254438579582208,0.07686578440622752,0.06964556017202723,0.06870020231438988,0.0673418428981046,0.06308860131176211,0.05912024844600841,0.06083445303110266,0.05190176704736877,0.049082889314157094,0.040629058636734015,0.033987597508789553
round8,0.1155037778502602,0.0839507216873989,0.09186020346105546,0.0735424189711897,0.07474570014943778,0.06940906887839784,0.06786677311515456,0.06670746429446235,0.06201462350045157,0.0574011958921536,0.05300508009204946,0.05384949201681351,0.048507553608014675,0.045298481284065585,0.03633744519909472
round9,0.11601932888395751,0.0838037361125184,0.08756793060820794,0.07503895139409572,0.07109047559038106,0.07081223786016184,0.06940131866861188,0.06584018572926874,0.06306158377501003,0.05479638498862702,0.05581607647061547,0.05793042042559068,0.050145947196184114,0.04304512980073613,0.03563029249603304
round10,0.11663013990616897,0.0887202622726149,0.08921190811663544,0.07125851765299608,0.07118672981459945,0.07264376788777434,0.07011962681850507,0.06334948184793719,0.06253198071314234,0.05805393252282151,0.05269194147731051,0.05507472005659783,0.050417091508274406,0.043145848762491515,0.03496405064213028
