,Number of Features,F1 Score
0,1,0.12749076422076486
1,2,0.23817596231542135
2,3,0.3135122555759708
3,4,0.3657160364965655
4,5,0.41861860649768595
5,6,0.4444345807975343
6,7,0.4442148223078315
7,8,0.4626457687037225
8,9,0.49207999541999387
9,10,0.49638137762234996
10,11,0.4980562239779102
11,12,0.5008224866849806
12,13,0.4439150744060996
13,14,0.46016560254672684
14,15,0.5092607405718018
15,16,0.49529036630389706
16,17,0.483748746385523
17,18,0.4952337066425601
18,19,0.4926267184675583
19,20,0.470681976620253
20,21,0.5022741168357404
21,22,0.4995526938480131
22,23,0.47877444948563097
23,24,0.508149857084797
24,25,0.4993826243739578
25,26,0.5084865039435327
26,27,0.5058442810374814
27,28,0.4738121978295536
28,29,0.4491204386289918
29,30,0.47830895994841477
30,31,0.44694625972971735
31,32,0.45720627774188044
32,33,0.465027709252451
33,34,0.4753075581347837
34,35,0.4483727699005107
35,36,0.5082105862946306
36,37,0.49852002284004066
37,38,0.43776062673994853
38,39,0.43553623083530546
39,40,0.46210056659669313
40,41,0.4830131146248983
41,42,0.48534476579900354
42,43,0.44973619094928036
43,44,0.4315051450864025
44,45,0.43557918302593146
45,46,0.46385534376258736
46,47,0.3889811611939035
47,48,0.4342021241036011
48,49,0.4489143201687977
49,50,0.3915079085727898
50,51,0.4577983004811455
51,52,0.42130961132879263
52,53,0.44620452550141715
