,S33,U238,Cr52,B11,Mg24,Ge72,Ba137,Sr88,Al27,Nd146,Li7,Sc45,Pr141,K39,Zr90
round1,0.11674272430183097,0.09094391925984571,0.09002479613256678,0.080609838562328,0.07676475352845136,0.07446384432808269,0.06402810273310654,0.060387954022961585,0.05840069115200592,0.055913024384744714,0.05165750031025887,0.049636411170196085,0.04647378124731701,0.04419961867945208,0.039753040186851614
round2,0.11277549986311133,0.09109087962913984,0.08600279941921661,0.07924038530056954,0.07622822779098513,0.07210748877447475,0.0698968494973525,0.06266940355582981,0.06008673210395911,0.055621808501123554,0.049840466977525304,0.04856665369958246,0.04979650189829513,0.0470259829156313,0.03905032007320382
round3,0.11365795604906856,0.09257758379342856,0.0876835901346876,0.07972633991293383,0.07534776571678911,0.07235560906676851,0.061177413916560563,0.06278584448387405,0.06012610095067797,0.05510063041956444,0.053157672105292215,0.048626592041510514,0.04764409666928367,0.04905743251879434,0.04097537222076582
round4,0.11118645135818675,0.0947436996607439,0.08908612857834401,0.0804488625022083,0.07133541187221573,0.07050695160502456,0.06423038664584184,0.06212788897150933,0.05839408558033811,0.05827519237171986,0.050929118219490296,0.051843649099496146,0.05006075224740616,0.04523704024911397,0.04159438103836066
round5,0.11374118974274895,0.09845645876736839,0.08624396128051344,0.08126487833163239,0.07438471041417864,0.06915961671349197,0.06707051466654132,0.06417888381172537,0.05921997299489603,0.05290983716311116,0.04966051077002248,0.05012871511940396,0.0490157025109326,0.04431528409506513,0.040249763618368496
round6,0.11050358167678548,0.09319518311406325,0.08809983990375933,0.07794545157878337,0.07551334157155977,0.06875571324570501,0.06568939690229365,0.06736761506966785,0.06038635021136548,0.05143507128602068,0.05088799343944203,0.05373790172673339,0.04811061267649004,0.047515123243898776,0.04085682435343159
round7,0.11388628400479639,0.08332543628577171,0.08646432092520266,0.07909755848853646,0.07636753922144197,0.07026361360651427,0.0698801216237248,0.06769064378497736,0.0584622439233916,0.053365529414412326,0.050185285510572324,0.052161158044624886,0.05499510128609768,0.046809581346365856,0.037045582533569946
round8,0.11578986491003798,0.0921078160981321,0.08134645075275987,0.0793521835601401,0.0721967144846624,0.07214480542006813,0.06436171735567223,0.06334727790090558,0.06001305401023892,0.05684828070821249,0.04998686895691013,0.04985225548196353,0.051308395031885064,0.048902611575100154,0.04244170375331139
round9,0.11672585612427831,0.08910853716245141,0.08181997034792725,0.08036306550795463,0.07162564259775882,0.07184497836332131,0.06688280944395714,0.06298549850517744,0.05951477838213298,0.05614232212938286,0.05071188251016242,0.05293128144349084,0.04971813198020724,0.05026656622915283,0.03935867927264515
round10,0.11572093558023347,0.09113480131401562,0.08794810100585723,0.0752509160154053,0.07170406561216376,0.0737031547732186,0.07047557239995811,0.06279006749502365,0.05987261854654713,0.050111532953433166,0.0517934273810258,0.04863824956095855,0.051570539478232424,0.04915706457804784,0.04012895330587878
